						14-15赛季						季后赛					
20 - 32
22 - 27
18 - 26
28 - 33
0;3637;杰夫-蒂格;1;28;61.5%;8;13;20.0%;1;5; ;0;0;65.4%;1;0;1;1;1;1;3;2;17
1;2317;保罗-米尔萨普;1;31;38.5%;5;13;0.0%;0;4;75.0%;6;8;51.2%;10;2;8;5;0;0;0;2;16
2;4108;肯特-贝兹莫尔;1;35;36.4%;4;11;0.0%;0;4;66.7%;4;6;47.0%;8;0;8;3;0;0;0;1;12
3;726;德马雷-卡罗尔;1;27;33.3%;3;9;20.0%;1;5;0.0%;0;2;38.9%;8;2;6;1;1;1;2;3;7
4;1451;艾尔-霍福德;1;29;16.7%;1;6; ;0;0; ;0;0;16.7%;2;1;1;5;0;1;0;1;2
5;2571;谢尔文-马克;0;24;36.4%;4;11;20.0%;1;5;50.0%;1;2;43.7%;2;0;2;1;2;0;0;2;10
6;4131;约翰-詹金斯;0;12;80.0%;4;5;66.7%;2;3; ;0;0;100.0%;2;1;1;0;0;0;0;1;10
7;4229;马克-穆斯卡拉;0;12;80.0%;4;5;0.0%;0;1; ;0;0;80.0%;1;0;1;0;0;0;0;0;8
8;4173;丹尼斯-施罗德;0;19;28.6%;2;7;0.0%;0;1; ;0;0;28.6%;1;0;1;4;0;0;1;5;4
9;4130;迈克-斯科特;0;24;20.0%;1;5;0.0%;0;4; ;0;0;20.0%;4;1;3;2;0;0;1;3;2
0;1862;勒布朗-詹姆斯;1;29;50.0%;10;20;33.3%;2;6;25.0%;1;4;56.3%;9;0;9;7;2;1;1;2;23
1;3581;特里斯坦-汤普森;1;31;75.0%;6;8; ;0;0;50.0%;4;8;82.0%;11;5;6;0;0;1;2;1;16
2;1690;凯里-欧文;1;22;54.5%;6;11;66.7%;2;3;66.7%;2;3;67.3%;4;1;3;5;1;1;1;1;16
3;2242;季莫费-莫兹戈夫;1;35;55.6%;5;9; ;0;0;80.0%;4;5;65.1%;7;3;4;1;1;3;2;5;14
4;3366;伊曼-香珀特;1;36;12.5%;1;8;25.0%;1;4; ;0;0;18.8%;8;2;6;4;0;1;1;1;3
5;3291;J.R.史密斯;0;29;50.0%;7;14;40.0%;4;10; ;0;0;64.3%;10;0;10;3;0;0;2;2;18
6;4198;马修-德拉维多瓦;0;17;50.0%;3;6;50.0%;1;2;100.0%;3;3;68.3%;2;2;0;1;0;0;0;1;10
7;4311;乔-哈里斯;0;6;100.0%;2;2;100.0%;1;1;100.0%;2;2;121.5%;1;0;1;1;0;0;0;1;7
8;1744;詹姆斯-琼斯;0;20;20.0%;1;5;25.0%;1;4;66.7%;2;3;42.5%;2;0;2;1;1;0;0;2;5
9;2834;肯德里克-帕金斯;0;5;50.0%;1;2; ;0;0;50.0%;1;2;61.5%;2;0;2;0;0;0;1;1;3
10;2325;迈克-米勒;0;5;100.0%;1;1;100.0%;1;1; ;0;0;150.0%;0;0;0;0;0;0;0;1;3
11;1562;布兰登-海伍德;0;2;0.0%;0;1; ;0;0; ;0;0; ;0;0;0;0;0;0;0;0;0
12;2524;肖恩-马里昂;0;3; ;0;0; ;0;0; ;0;0; ;0;0;0;0;0;0;0;0;0
