						14-15赛季						季后赛					
22 - 17
24 - 35
22 - 22
22 - 30
0;1437;德怀特-霍华德;1;42;38.5%;5;13; ;0;0;61.5%;8;13;54.5%;16;3;13;1;2;4;4;3;18
1;3629;杰森-特里;1;39;46.2%;6;13;25.0%;2;8;100.0%;2;2;57.6%;2;0;2;3;1;0;2;3;16
2;36;特雷沃-阿里扎;1;44;55.6%;5;9;33.3%;1;3;100.0%;4;4;69.7%;6;2;4;4;2;0;0;5;15
3;1628;詹姆斯-哈登;1;43;18.2%;2;11;0.0%;0;3;76.9%;10;13;45.5%;6;2;4;5;3;0;13;5;14
4;3284;约什-史密斯;1;21;21.4%;3;14;28.6%;2;7;50.0%;3;6;35.9%;4;1;3;1;0;2;0;2;11
5;264;科里-布鲁尔;0;24;50.0%;5;10;0.0%;0;1;100.0%;6;6;63.3%;3;1;2;1;1;0;0;4;16
6;4128;泰伦斯-琼斯;0;17;0.0%;0;3;0.0%;0;1; ;0;0; ;1;0;1;0;1;0;0;1;0
7;4320;克林特-卡佩拉;0;3; ;0;0; ;0;0; ;0;0; ;1;1;0;0;1;0;0;1;0
8;4098;巴勃罗-普里吉奥尼;0;7;0.0%;0;1;0.0%;0;1; ;0;0; ;0;0;0;1;1;0;1;2;0
0;526;斯蒂芬-库里;1;42;33.3%;7;21;27.3%;3;11;75.0%;9;12;52.1%;8;1;7;6;5;0;3;3;26
1;4084;哈里森-巴恩斯;1;35;50.0%;10;20;40.0%;2;5;100.0%;2;2;57.5%;7;3;4;0;1;0;2;4;24
2;3587;克莱-汤普森;1;22;57.1%;8;14;66.7%;4;6; ;0;0;71.4%;1;0;1;4;1;0;0;5;20
3;4085;德雷蒙德-格林 ;1;34;20.0%;3;15;0.0%;0;5;100.0%;3;3;27.6%;13;4;9;4;0;0;3;4;9
4;345;安德鲁-博古特;1;19;0.0%;0;1; ;0;0; ;0;0; ;14;5;9;1;0;2;1;2;0
5;4086;费斯图斯-艾泽里;0;28;71.4%;5;7; ;0;0;50.0%;2;4;76.1%;9;5;4;1;0;2;3;3;12
6;497;莱昂德罗-巴博萨;0;11;50.0%;1;2;0.0%;0;1;83.3%;5;6;83.3%;2;0;2;1;0;0;0;4;7
7;1701;安德烈-伊格达拉;0;30;37.5%;3;8;0.0%;0;1;0.0%;0;4;37.5%;4;1;3;6;4;0;2;3;6
8;2153;大卫-李;0;0; ;0;0; ;0;0; ;0;0; ;0;0;0;0;0;0;0;0;0
9;2102;肖恩-利文斯顿;0;18;0.0%;0;3; ;0;0; ;0;0; ;1;0;1;2;0;0;2;2;0
