						14-15赛季						季后赛					
20 - 20
27 - 25
15 - 14
25 - 28
8 - 6
0;1862;勒布朗-詹姆斯;1;50;32.4%;11;34;50.0%;3;6;77.8%;14;18;48.6%;16;4;12;11;1;1;3;3;39
1;2242;季莫费-莫兹戈夫;1;29;62.5%;5;8; ;0;0;58.3%;7;12;76.7%;11;2;9;0;0;0;2;1;17
2;4198;马修-德拉维多瓦;1;42;30.0%;3;10;16.7%;1;6;100.0%;2;2;41.4%;5;1;4;1;3;0;6;3;9
3;3366;伊曼-香珀特;1;36;18.2%;2;11;20.0%;1;5;100.0%;2;2;29.5%;3;0;3;1;3;1;0;1;7
4;3581;特里斯坦-汤普森;1;39;0.0%;0;5; ;0;0;50.0%;2;4;17.0%;14;7;7;0;1;1;0;5;2
5;3291;J.R.史密斯;0;38;38.5%;5;13;40.0%;2;5;50.0%;1;2;48.4%;4;0;4;0;1;0;2;6;13
6;1744;詹姆斯-琼斯;0;23;42.9%;3;7;50.0%;2;4; ;0;0;57.1%;1;0;1;1;2;0;0;4;8
7;2325;迈克-米勒;0;6;0.0%;0;1;0.0%;0;1; ;0;0; ;1;0;1;0;0;0;0;1;0
0;3587;克莱-汤普森;1;46;50.0%;14;28;33.3%;4;12;66.7%;2;3;58.9%;5;0;5;2;2;1;0;4;34
1;526;斯蒂芬-库里;1;42;21.7%;5;23;13.3%;2;15;87.5%;7;8;36.4%;6;0;6;5;0;1;6;4;19
2;4084;哈里森-巴恩斯;1;41;50.0%;5;10;0.0%;0;4;100.0%;1;1;52.7%;6;4;2;0;1;0;0;5;11
3;4085;德雷蒙德-格林 ;1;43;28.6%;2;7;0.0%;0;1;100.0%;6;6;51.9%;10;2;8;2;5;3;4;5;10
4;345;安德鲁-博古特;1;25;0.0%;0;1; ;0;0;50.0%;2;4;53.2%;10;1;9;1;0;2;2;4;2
5;1701;安德烈-伊格达拉;0;36;60.0%;3;5;50.0%;1;2;0.0%;0;1;70.0%;6;2;4;5;1;0;4;5;7
6;497;莱昂德罗-巴博萨;0;6;100.0%;2;2;100.0%;1;1; ;0;0;125.0%;1;1;0;0;0;0;0;1;5
7;2102;肖恩-利文斯顿;0;14;50.0%;1;2; ;0;0;50.0%;1;2;61.5%;1;0;1;1;1;0;2;0;3
8;4086;费斯图斯-艾泽里;0;6;50.0%;1;2; ;0;0; ;0;0;50.0%;0;0;0;0;0;0;0;3;2
9;3233;马利斯-斯贝茨;0;5;0.0%;0;3; ;0;0; ;0;0; ;0;0;0;0;1;0;0;0;0
