						14-15赛季						季后赛					
20 - 24
17 - 20
18 - 28
36 - 24
0;526;斯蒂芬-库里;1;44;50.0%;10;20;53.8%;7;13; ;0;0;67.5%;6;2;4;6;3;1;6;2;27
1;3587;克莱-汤普森;1;39;37.5%;6;16;28.6%;2;7; ;0;0;43.8%;5;1;4;1;0;1;1;4;14
2;4085;德雷蒙德-格林 ;1;30;20.0%;2;10;25.0%;1;4;66.7%;2;3;32.2%;7;3;4;3;1;0;1;4;7
3;345;安德鲁-博古特;1;17;66.7%;2;3; ;0;0; ;0;0;66.7%;6;1;5;1;0;1;0;2;4
4;4084;哈里森-巴恩斯;1;19;0.0%;0;8;0.0%;0;1; ;0;0; ;3;3;0;0;0;0;3;2;0
5;1701;安德烈-伊格达拉;0;36;50.0%;6;12;25.0%;2;8;50.0%;1;2;60.3%;5;1;4;5;0;1;0;1;15
6;2153;大卫-李;0;13;100.0%;4;4; ;0;0;60.0%;3;5;103.4%;4;2;2;2;1;0;0;5;11
7;4086;费斯图斯-艾泽里;0;18;33.3%;2;6; ;0;0;50.0%;1;2;38.8%;7;3;4;1;0;2;2;1;5
8;2102;肖恩-利文斯顿;0;13;50.0%;2;4;0.0%;0;1; ;0;0;50.0%;2;2;0;2;0;0;1;3;4
9;497;莱昂德罗-巴博萨;0;11;28.6%;2;7; ;0;0; ;0;0;28.6%;1;0;1;0;1;1;0;1;4
0;1862;勒布朗-詹姆斯;1;46;41.2%;14;34;33.3%;2;6;83.3%;10;12;52.1%;12;1;11;8;4;2;4;1;40
1;4198;马修-德拉维多瓦;1;39;41.2%;7;17;33.3%;2;6;80.0%;4;5;53.3%;5;1;4;4;0;0;2;3;20
2;3581;特里斯坦-汤普森;1;44;66.7%;4;6; ;0;0;50.0%;2;4;72.7%;13;4;9;1;0;0;1;1;10
3;2242;季莫费-莫兹戈夫;1;32;50.0%;3;6; ;0;0; ;0;0;50.0%;5;0;5;1;1;4;4;3;6
4;3366;伊曼-香珀特;1;32;50.0%;1;2;50.0%;1;2;0.0%;0;2;75.0%;3;0;3;0;3;0;2;4;3
5;3291;J.R.史密斯;0;32;44.4%;4;9;40.0%;2;5; ;0;0;55.6%;4;0;4;1;0;2;0;1;10
6;1744;詹姆斯-琼斯;0;10;100.0%;2;2;100.0%;2;2;100.0%;1;1;143.4%;1;0;1;0;0;0;1;3;7
7;2325;迈克-米勒;0;5; ;0;0; ;0;0; ;0;0; ;0;0;0;0;1;0;0;0;0
