						14-15赛季						季后赛					
31 - 24
23 - 18
22 - 28
27 - 12
0;526;斯蒂芬-库里;1;41;47.1%;8;17;57.1%;4;7;100.0%;2;2;61.5%;2;0;2;6;1;0;4;1;22
1;1701;安德烈-伊格达拉;1;39;53.3%;8;15;44.4%;4;9;100.0%;2;2;69.3%;8;1;7;0;1;0;1;4;22
2;4085;德雷蒙德-格林 ;1;32;54.5%;6;11;33.3%;1;3;57.1%;4;7;66.6%;7;0;7;6;2;1;0;5;17
3;4084;哈里森-巴恩斯;1;33;44.4%;4;9;40.0%;2;5;100.0%;4;4;65.1%;8;3;5;1;0;2;0;2;14
4;3587;克莱-汤普森;1;39;44.4%;4;9;20.0%;1;5; ;0;0;50.0%;2;0;2;2;0;1;0;0;9
5;2153;大卫-李;0;15;42.9%;3;7; ;0;0;50.0%;3;6;54.1%;5;0;5;3;0;0;0;1;9
6;2102;肖恩-利文斯顿;0;25;50.0%;2;4; ;0;0;75.0%;3;4;65.8%;8;1;7;4;1;1;1;3;7
7;497;莱昂德罗-巴博萨;0;7;33.3%;1;3;0.0%;0;1; ;0;0;33.3%;0;0;0;1;0;0;0;1;2
8;3233;马利斯-斯贝茨;0;2;0.0%;0;2; ;0;0;50.0%;1;2;20.5%;2;1;1;0;0;0;0;1;1
9;4350;James Michael McAdoo;0;1; ;0;0; ;0;0; ;0;0; ;1;0;1;0;0;0;0;0;0
10;345;安德鲁-博古特;0;3; ;0;0; ;0;0; ;0;0; ;1;0;1;1;0;0;1;3;0
11;4151;贾斯汀-霍勒迪;0;2; ;0;0; ;0;0; ;0;0; ;0;0;0;0;0;0;0;0;0
0;2242;季莫费-莫兹戈夫;1;33;56.3%;9;16; ;0;0;83.3%;10;12;68.6%;10;6;4;1;1;0;3;3;28
1;1862;勒布朗-詹姆斯;1;41;31.8%;7;22;25.0%;1;4;50.0%;5;10;41.3%;12;2;10;8;0;0;2;5;20
2;3581;特里斯坦-汤普森;1;38;60.0%;6;10; ;0;0; ;0;0;60.0%;13;6;7;0;0;1;0;1;12
3;4198;马修-德拉维多瓦;1;33;21.4%;3;14;22.2%;2;9;100.0%;2;2;33.6%;1;0;1;4;1;0;3;2;10
4;3366;伊曼-香珀特;1;39;22.2%;2;9;20.0%;1;5; ;0;0;27.8%;7;1;6;1;0;1;0;2;5
5;3291;J.R.史密斯;0;28;16.7%;2;12;0.0%;0;8; ;0;0;16.7%;2;1;1;2;0;0;0;4;4
6;2834;肯德里克-帕金斯;0;3;0.0%;0;2; ;0;0;100.0%;2;2;34.7%;1;0;1;0;0;0;0;1;2
7;4311;乔-哈里斯;0;3; ;0;0; ;0;0;50.0%;1;2;113.6%;0;0;0;0;0;0;0;0;1
8;1744;詹姆斯-琼斯;0;18;0.0%;0;3;0.0%;0;1; ;0;0; ;3;0;3;0;0;1;1;1;0
9;2325;迈克-米勒;0;3; ;0;0; ;0;0; ;0;0; ;0;0;0;0;0;0;0;0;0
